candidate_id,rank,score,reasoning
CAND_0018499,1,0.99,"7.2y Senior Machine Learning Engineer. at Zomato. Noida, Uttar Pradesh. Shipped: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-fac. Redrob assessment Weaviate 72.... Caveat: none material — profile aligns on role, stack, and logistics."
CAND_0039754,2,0.982,"8.2y Senior Applied Scientist. at Meta. Indore, Madhya Pradesh. Shipped: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate so. Redrob assessment Fine-tuning LLMs 96.... Caveat: outside Pune/Noida today — willing to relocate."
CAND_0081846,3,0.974,"6.7y Lead AI Engineer. at Razorpay. Jaipur, Rajasthan. Shipped: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-fac. Redrob assessment Information Retrieval 65/100.... Caveat: outside Pune/Noida today — willing to relocate."
CAND_0086022,4,0.9661,"5.2y Senior Applied Scientist. at Sarvam AI. Kolkata, West Bengal. Shipped: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-fac. Redrob assessment Vector Search 93.... Caveat: outside Pune/Noida today — willing to relocate."
CAND_0002025,5,0.9581,"5.8y Senior AI Engineer. at Apple. Trivandrum, Kerala. Shipped: Built and shipped a production recommendation system at a marketplace product, going from offli. GitHub activity 97/100. saved by 22 recruiters.... Caveat: based in Trivandrum, Kerala — outside Pune/Noida; has not indicated willingness to relocate."
CAND_0046064,6,0.9501,"8.9y Senior NLP Engineer. at Salesforce. Coimbatore, Tamil Nadu. Shipped: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-fac. Redrob assessment Python 64/100. Git.... Caveat: based in Coimbatore, Tamil Nadu — outside Pune/Noida; has not indicated willingness to relocate."
CAND_0061257,7,0.9421,"8.0y Staff Machine Learning Engineer. at LinkedIn. Noida, Uttar Pradesh. Shipped: Designed the ranking layer for the company's flagship product: how do we surface the right thin. Redrob assessment PEFT 70/10.... Caveat: none material — profile aligns on role, stack, and logistics."
CAND_0077337,8,0.9341,"7.0y Staff Machine Learning Engineer. at Paytm. Kochi, Kerala. Shipped: Built and shipped a production recommendation system at a marketplace product, going from offli. Redrob assessment Semantic Search 63/1.... Caveat: 60-day notice — still in scope but bar is higher per JD."
CAND_0068351,9,0.9262,"6.3y Lead AI Engineer. at Sarvam AI. Delhi. Shipped: Owned the search and discovery experience end-to-end at a consumer product, from how content is. nan. saved by 66 recruiters (30d). recruiter response 86%.... Caveat: based in Delhi — outside Pune/Noida; has not indicated willingness to relocate."
CAND_0037980,10,0.9182,"8.9y Senior Applied Scientist. at Niramai. Kolkata, West Bengal. Shipped: Designed the ranking layer for the company's flagship product: how do we surface the right thin. Redrob assessment LoRA 74/100. nan. .... Caveat: outside Pune/Noida today — willing to relocate."
